{'BatchDate': '2020-01-30 00:52:27', 'StartingDate': '2020-01-30 00:25:08', 'EndingDate': '2020-01-30 00:52:15', 'Delay': '0h27min', 'nRT': 3948, 'nInf': 1106, 'nFam': 1326, 'nUse': 3136}
{'BatchDate': '2020-01-30 01:00:42', 'StartingDate': '2020-01-30 00:52:16', 'EndingDate': '2020-01-30 01:00:33', 'Delay': '0h8min', 'nRT': 1006, 'nInf': 429, 'nFam': 490, 'nUse': 855}
{'BatchDate': '2020-01-30 01:16:06', 'StartingDate': '2020-01-30 01:00:34', 'EndingDate': '2020-01-30 01:15:58', 'Delay': '0h15min', 'nRT': 1748, 'nInf': 632, 'nFam': 751, 'nUse': 1438}
{'BatchDate': '2020-01-30 01:42:45', 'StartingDate': '2020-01-30 01:15:58', 'EndingDate': '2020-01-30 01:42:34', 'Delay': '0h26min', 'nRT': 2374, 'nInf': 801, 'nFam': 957, 'nUse': 1840}
{'BatchDate': '2020-01-30 01:54:22', 'StartingDate': '2020-01-30 01:42:35', 'EndingDate': '2020-01-30 01:54:13', 'Delay': '0h11min', 'nRT': 973, 'nInf': 433, 'nFam': 495, 'nUse': 784}
{'BatchDate': '2020-01-30 01:57:08', 'StartingDate': '2020-01-30 01:54:13', 'EndingDate': '2020-01-30 01:56:58', 'Delay': '0h2min', 'nRT': 204, 'nInf': 120, 'nFam': 127, 'nUse': 189}
{'BatchDate': '2020-01-30 02:57:08', 'StartingDate': '2020-01-30 01:57:00', 'EndingDate': '2020-01-30 02:56:59', 'Delay': '0h59min', 'nRT': 3214, 'nInf': 962, 'nFam': 1173, 'nUse': 2347}
{'BatchDate': '2020-01-30 03:57:08', 'StartingDate': '2020-01-30 02:57:01', 'EndingDate': '2020-01-30 03:56:58', 'Delay': '0h59min', 'nRT': 2201, 'nInf': 816, 'nFam': 966, 'nUse': 1598}
{'BatchDate': '2020-01-30 04:57:08', 'StartingDate': '2020-01-30 03:56:58', 'EndingDate': '2020-01-30 04:56:54', 'Delay': '0h59min', 'nRT': 1725, 'nInf': 672, 'nFam': 796, 'nUse': 1166}
{'BatchDate': '2020-01-30 05:57:08', 'StartingDate': '2020-01-30 04:56:58', 'EndingDate': '2020-01-30 05:56:53', 'Delay': '0h59min', 'nRT': 1995, 'nInf': 737, 'nFam': 874, 'nUse': 1339}
{'BatchDate': '2020-01-30 06:57:09', 'StartingDate': '2020-01-30 05:56:55', 'EndingDate': '2020-01-30 06:56:59', 'Delay': '1h0min', 'nRT': 4306, 'nInf': 1122, 'nFam': 1398, 'nUse': 2837}
{'BatchDate': '2020-01-30 07:57:11', 'StartingDate': '2020-01-30 06:57:00', 'EndingDate': '2020-01-30 07:57:00', 'Delay': '1h0min', 'nRT': 9052, 'nInf': 1651, 'nFam': 2122, 'nUse': 6272}
